iter	Passed	Remaining
0	161	161376
1	162	81254
2	163	54450
3	164	41044
4	165	32981
5	170	28302
6	172	24426
7	173	21494
8	174	19207
9	175	17420
10	177	15923
11	177	14653
12	179	13607
13	180	12685
14	186	12224
15	187	11527
16	188	10912
17	189	10344
18	190	9832
19	191	9375
20	192	8967
21	193	8588
22	194	8241
23	195	7951
24	197	7704
25	199	7454
26	200	7213
27	201	6993
28	202	6775
29	203	6570
30	204	6378
31	204	6197
32	205	6030
33	206	5869
34	207	5720
35	208	5577
36	209	5443
37	210	5321
38	211	5203
39	212	5089
40	212	4981
41	214	4882
42	215	4788
43	216	4693
44	216	4603
45	217	4518
46	218	4435
47	223	4435
48	224	4364
49	226	4297
50	227	4231
51	228	4167
52	230	4123
53	232	4069
54	233	4006
55	236	3992
56	239	3954
57	240	3911
58	242	3859
59	243	3809
60	244	3762
61	245	3711
62	246	3662
63	247	3613
64	247	3565
65	248	3519
66	252	3510
67	254	3485
68	255	3447
69	256	3409
70	257	3373
71	258	3337
72	260	3302
73	261	3271
74	262	3235
75	263	3200
76	267	3204
77	269	3180
78	270	3147
79	270	3115
80	271	3083
81	272	3052
82	273	3016
83	273	2985
84	274	2956
85	275	2927
86	276	2900
87	277	2872
88	278	2847
89	279	2821
90	281	2808
91	282	2783
92	282	2759
93	283	2737
94	284	2713
95	285	2689
96	286	2666
97	287	2644
98	288	2622
99	289	2601
100	289	2580
101	290	2559
102	295	2574
103	297	2562
104	298	2542
105	299	2524
106	300	2506
107	301	2487
108	302	2470
109	303	2451
110	303	2433
111	304	2415
112	305	2398
113	306	2381
114	310	2386
115	311	2375
116	312	2358
117	313	2342
118	314	2329
119	315	2313
120	316	2297
121	316	2280
122	317	2265
123	318	2250
124	319	2237
125	320	2224
126	321	2209
127	325	2215
128	326	2201
129	327	2188
130	327	2175
131	328	2162
132	329	2150
133	330	2137
134	331	2125
135	332	2112
136	333	2100
137	334	2090
138	335	2078
139	336	2066
140	340	2072
141	341	2062
142	342	2053
143	343	2043
144	345	2036
145	346	2028
146	348	2022
147	349	2012
148	350	2004
149	355	2016
150	357	2008
151	358	1998
152	359	1989
153	360	1980
154	361	1973
155	363	1968
156	365	1964
157	366	1954
158	374	1980
159	375	1972
160	376	1960
161	377	1950
162	378	1941
163	379	1932
164	379	1922
165	380	1912
166	381	1902
167	382	1893
168	386	1900
169	388	1895
170	389	1888
171	390	1882
172	391	1873
173	392	1864
174	393	1854
175	394	1846
176	395	1837
177	396	1829
178	404	1854
179	405	1846
180	406	1839
181	407	1833
182	409	1828
183	410	1819
184	411	1811
185	411	1802
186	417	1816
187	419	1811
188	420	1805
189	421	1797
190	422	1789
191	423	1781
192	424	1773
193	424	1765
194	425	1757
195	426	1749
196	429	1748
197	430	1742
198	434	1750
199	437	1750
200	438	1742
201	439	1735
202	440	1728
203	440	1720
204	442	1714
205	442	1707
206	445	1705
207	446	1701
208	447	1694
209	448	1687
210	449	1680
211	450	1673
212	451	1666
213	451	1659
214	452	1653
215	453	1647
216	454	1640
217	455	1633
218	456	1626
219	458	1625
220	459	1621
221	461	1618
222	463	1613
223	464	1609
224	482	1661
225	484	1657
226	486	1655
227	487	1650
228	490	1650
229	492	1648
230	493	1643
231	494	1637
232	495	1630
233	496	1624
234	497	1618
235	497	1611
236	498	1606
237	500	1601
238	500	1595
239	501	1588
240	502	1582
241	505	1582
242	506	1578
243	508	1574
244	509	1569
245	510	1564
246	511	1559
247	512	1553
248	513	1547
249	513	1541
250	514	1536
251	515	1530
252	516	1525
253	517	1520
254	519	1517
255	521	1514
256	522	1510
257	523	1505
258	524	1499
259	525	1494
260	526	1489
261	526	1484
262	527	1479
263	528	1473
264	529	1468
265	530	1463
266	531	1458
267	534	1459
268	537	1461
269	538	1456
270	539	1451
271	540	1446
272	541	1441
273	542	1437
274	543	1432
275	544	1427
276	545	1422
277	545	1417
278	547	1414
279	549	1412
280	550	1408
281	551	1404
282	553	1401
283	554	1398
284	556	1395
285	557	1391
286	558	1386
287	559	1383
288	560	1379
289	561	1374
290	564	1374
291	566	1372
292	567	1370
293	568	1366
294	570	1362
295	571	1359
296	572	1355
297	574	1352
298	575	1348
299	576	1344
300	578	1343
301	581	1344
302	583	1341
303	584	1337
304	585	1333
305	586	1329
306	587	1325
307	589	1323
308	590	1319
309	591	1316
310	592	1313
311	593	1309
312	595	1306
313	597	1304
314	598	1301
315	599	1297
316	600	1293
317	601	1289
318	601	1284
319	602	1280
320	603	1276
321	604	1272
322	605	1268
323	606	1264
324	608	1263
325	609	1260
326	612	1259
327	613	1256
328	614	1253
329	615	1249
330	616	1246
331	617	1242
332	618	1239
333	619	1235
334	620	1232
335	621	1228
336	623	1226
337	624	1223
338	626	1221
339	627	1219
340	628	1215
341	629	1211
342	630	1207
343	631	1204
344	632	1200
345	633	1196
346	634	1193
347	634	1189
348	635	1185
349	636	1182
350	638	1181
351	640	1178
352	641	1175
353	642	1172
354	643	1169
355	644	1166
356	645	1162
357	646	1158
358	647	1155
359	647	1151
360	648	1148
361	649	1145
362	650	1142
363	653	1142
364	655	1139
365	656	1137
366	658	1136
367	659	1132
368	660	1130
369	662	1127
370	663	1124
371	664	1121
372	665	1118
373	666	1116
374	668	1114
375	670	1112
376	671	1109
377	672	1107
378	673	1104
379	675	1101
380	676	1098
381	677	1095
382	678	1093
383	679	1090
384	680	1087
385	682	1084
386	684	1083
387	685	1081
388	686	1077
389	687	1074
390	687	1071
391	688	1068
392	689	1065
393	691	1062
394	692	1060
395	693	1057
396	701	1065
397	702	1063
398	704	1060
399	705	1058
400	706	1055
401	707	1052
402	708	1049
403	714	1054
404	716	1052
405	717	1049
406	718	1047
407	719	1044
408	720	1041
409	723	1040
410	724	1037
411	756	1079
412	759	1079
413	761	1077
414	762	1074
415	763	1071
416	764	1069
417	766	1066
418	767	1064
419	768	1061
420	769	1058
421	770	1055
422	771	1052
423	772	1050
424	774	1047
